created_at,base,exchange,ticket1,ticket2,ticket3,profit
2019-08-21T02:45:13.173Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1954
2019-08-21T02:45:27.381Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1918
2019-08-21T02:45:43.735Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1789
2019-08-21T02:46:00.383Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.112
2019-08-21T02:46:14.749Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.112
2019-08-21T02:46:27.941Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1142
2019-08-21T02:46:43.600Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1886
2019-08-21T02:46:58.680Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.202
2019-08-21T02:47:14.226Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1019
2019-08-21T02:47:28.917Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1005
2019-08-21T02:47:42.918Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1073
2019-08-21T02:47:59.153Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1332
2019-08-21T02:48:08.768Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1166
2019-08-21T02:48:18.600Z,BTC,gateio,BTC/USDT,USDC/USDT,BTC/USDC,103.8975
2019-08-21T02:48:28.200Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1611
2019-08-21T02:48:43.073Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0616
2019-08-21T02:48:58.279Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.157
2019-08-21T02:49:14.492Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2488
2019-08-21T02:49:28.638Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2655
2019-08-21T02:49:30.810Z,BTC,kucoin,MKR/BTC,MKR/ETH,ETH/BTC,0.0516
2019-08-21T02:49:31.235Z,ETH,kucoin,ETH/BTC,MKR/BTC,MKR/ETH,0.0516
