BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > kraken | profit: 1.0381191470579267 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > poloniex | profit: 1.1276390399820855 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > hitbtc | profit: 1.1455430185669115 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > binance | profit: 1.1037670685356318 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > kucoin | profit: 1.1336070328436847 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > gateio | profit: 1.0202151684731007 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > livecoin | profit: 0.7635914754238513 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > exmo | profit: 1.0679591113659654 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > cointiger | profit: 1.0202151684731007 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | kucoin > kraken > coss | profit: 1.0977990756740184 %
BTC | BCH/BTC > TRX/BCH > TRX/BTC | kucoin > hitbtc > livecoin | profit: 0.06528025400761805 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | kucoin > hitbtc > kraken | profit: 1.0868237434536923 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > bittrex > kraken | profit: 0.8787201946312848 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > poloniex > kraken | profit: 1.1898193034778757 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > hitbtc > kraken | profit: 0.9845640567392309 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | kucoin > hitbtc > livecoin | profit: 0.11546958740086666 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | kucoin > binance > livecoin | profit: 0.2928582861981113 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > binance > kraken | profit: 1.443926225721313 %
BTC | BTC/USDT > USDC/USDT > USDC/BTC | kucoin > binance > exmo | profit: 0.10632762484100056 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > kucoin > kraken | profit: 1.4052803542526107 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | kucoin > kucoin > livecoin | profit: 0.2991664098716882 %
BTC | BTC/USDT > USDT/USDC > USDC/BTC | kucoin > kucoin > exmo | profit: 0.056224407864760906 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > gateio > kraken | profit: 1.186059773477112 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | kucoin > cointiger > kraken | profit: 1.158543547626408 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > bittrex > kraken | profit: 0.7116577014144241 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > poloniex > kraken | profit: 0.46997483504279103 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > hitbtc > kraken | profit: 0.7991348827318774 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > binance > kraken | profit: 1.2127369084766286 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | kucoin > binance > livecoin | profit: 0.17528099483700998 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kucoin > kucoin > kraken | profit: 1.111149903655658 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | kucoin > kucoin > livecoin | profit: 0.08434689203902224 %
BTC | ETH/BTC > ETH/USDC > USDC/BTC | kucoin > kucoin > exmo | profit: 0.0553611579440485 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | kucoin > poloniex > kraken | profit: 0.664828480565717 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | kucoin > binance > kraken | profit: 1.0786580028723165 %
BTC | BNB/BTC > TRX/BNB > TRX/BTC | kucoin > binance > livecoin | profit: 0.15500361641854 %
