opp_created_at,ord_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent
2019-09-05T17:54:54.528Z,2019-09-05T17:55:01.709Z,ETC/BTC,ETC,BTC,hitbtc,kraken,52.524529257958186,0.03493172091032751,3.493172091032751e-05,0.1,85.82,0.056958734,0.00037309699712800154,0.6550303543052792
2019-09-05T17:54:54.530Z,2019-09-05T17:55:04.439Z,ETC/BTC,ETC,BTC,exmo,kraken,56.8465979794646,0.03784723821212196,3.7847238212121956e-05,0.1,200,0.13286599999999998,0.0014051116819999985,1.0575404407448097
2019-09-05T17:54:54.531Z,2019-09-05T17:55:10.445Z,ETC/ETH,ETC,ETH,poloniex,kraken,33.33294253997952,1.366737744064036,0.0013667377440640361,0.1,45.964,1.87936867776,0.003909257664166166,0.20800908892583914
2019-09-05T17:55:24.497Z,2019-09-05T17:55:25.768Z,ETC/BTC,ETC,BTC,poloniex,kraken,53.83264183588849,0.035814128178558405,3.5814128178558404e-05,0.1,325,0.2156375,0.0027600502644999914,1.2799491111239887
2019-09-05T17:55:24.498Z,2019-09-05T17:55:28.437Z,ETC/BTC,ETC,BTC,binance,kraken,56.87434419512109,0.037865954844600126,3.786595484460013e-05,0.1,325,0.216125,0.00260172966699998,1.2038078274146813
2019-09-05T17:55:24.501Z,2019-09-05T17:55:34.441Z,ETC/ETH,ETC,ETH,okex,kraken,13.206577126425255,0.5384881971124408,0.0005384881971124408,0.1,45.964,1.87119444,0.014347661410939681,0.7667648590779097
2019-09-05T17:55:54.530Z,2019-09-05T17:55:58.438Z,ETC/BTC,ETC,BTC,gateio,kraken,70.00473909478016,0.04672326276264889,4.672326276264889e-05,0.1,189.7194259,0.1263531376494,0.0009900049390291488,0.7835222436471485
2019-09-05T17:56:25.237Z,2019-09-05T17:56:28.758Z,ETC/BTC,ETC,BTC,kucoin,kraken,52.72249214661962,0.03506525979279221,3.506525979279221e-05,0.1,320.15,0.212675645,0.0027794465500299574,1.3068946141105895
2019-09-05T17:56:25.238Z,2019-09-05T17:56:31.440Z,ETC/BTC,ETC,BTC,cointiger,kraken,59.08785068263138,0.03935910936800187,3.935910936800187e-05,0.1,325,0.216125,0.0024920031994999925,1.153037917640251
2019-09-05T17:56:25.239Z,2019-09-05T17:56:34.849Z,ETC/ETH,ETC,ETH,hitbtc,kraken,16.94160735974908,0.6921938978207072,0.0006921938978207072,0.1,45.964,1.8740028403999998,0.01055135567845267,0.563038403730515
2019-09-05T17:56:54.547Z,2019-09-05T17:56:58.439Z,ETC/BTC,ETC,BTC,bitfinex,kraken,53.87524312554099,0.03584286552751415,3.5842865527514155e-05,0.1,64.76264068,0.0429920313890112,0.00014406812814338893,0.33510425883298195
2019-09-05T17:56:54.548Z,2019-09-05T17:57:01.891Z,ETC/BTC,ETC,BTC,hitbtc,kraken,54.23435786577165,0.03608511184656551,3.608511184656551e-05,0.1,60.04,0.039866559999999995,9.240431721599385e-05,0.23178402454586966
2019-09-05T17:56:54.551Z,2019-09-05T17:57:07.822Z,ETC/ETH,ETC,ETH,bittrex,kraken,17.99769795015211,0.7356546288105198,0.0007356546288105198,0.1,45.964,1.8730375964,0.010240339024166323,0.546723623906342
2019-09-05T17:56:54.552Z,2019-09-05T17:57:10.456Z,ETC/ETH,ETC,ETH,poloniex,kraken,32.19405961489827,1.3198699044244862,0.0013198699044244862,0.1,45.964,1.87910576368,0.0041721717441662864,0.22202963903402628
2019-09-05T17:57:24.538Z,2019-09-05T17:57:26.337Z,ETC/BTC,ETC,BTC,poloniex,kraken,60.258681666189496,0.04014891124529616,4.014891124529616e-05,0.1,325,0.21596250000000003,0.0024350502644999716,1.1275338378190525
2019-09-05T17:57:24.539Z,2019-09-05T17:57:28.445Z,ETC/BTC,ETC,BTC,binance,kraken,56.87434419512109,0.037865954844600126,3.786595484460013e-05,0.1,325,0.216125,0.00260172966699998,1.2038078274146813
2019-09-05T17:57:24.543Z,2019-09-05T17:57:34.449Z,ETC/ETH,ETC,ETH,okex,kraken,11.950913749311695,0.48681455401552987,0.00048681455401552987,0.1,36.03838,1.4656809145999998,0.011602302362258454,0.7915981061556532
2019-09-05T17:58:24.532Z,2019-09-05T17:58:28.736Z,ETC/BTC,ETC,BTC,kucoin,kraken,51.64529324857697,0.03433861886524521,3.433861886524521e-05,0.1,320.15,0.212611615,0.0028434765500299497,1.337404144185608
2019-09-05T17:58:24.533Z,2019-09-05T17:58:31.874Z,ETC/BTC,ETC,BTC,cointiger,kraken,59.08785068263138,0.03935910936800187,3.935910936800187e-05,0.1,314.363,0.209051395,0.002393856235528874,1.1451041671015274
